IDT_TURMA,DTA_AULA,NME_DISCIPLINA,Qtd_Alunos_Faltas,RK,DiasAulas
1,12/03/2018,Estatística,13,1,A1
1,13/03/2018,Estatística,9,2,A2
1,19/03/2018,Estatística,7,3,A3
1,20/03/2018,Estatística,4,4,A4
1,26/03/2018,Estatística,10,5,A5
1,27/03/2018,Estatística,8,6,A6
1,02/04/2018,Estatística,9,7,A7
1,03/04/2018,Estatística,12,8,A8
1,09/04/2018,Estatística,6,9,A9
1,10/04/2018,Estatística,11,10,A10
1,16/04/2018,Estatística,11,11,A11
1,17/04/2018,Estatística,13,12,A12
1,23/04/2018,Estatística,0,13,A13
1,24/04/2018,Estatística,2,14,A14
1,30/04/2018,Estatística,0,15,A15
1,07/05/2018,Estatística,9,16,A16
1,08/05/2018,Estatística,15,17,A17
1,14/05/2018,Estatística,13,18,A18
1,15/05/2018,Estatística,0,19,A19
1,21/05/2018,Estatística,0,20,A20
1,22/05/2018,Estatística,0,21,A21
1,28/05/2018,Estatística,0,22,A22
1,29/05/2018,Estatística,0,23,A23
1,04/06/2018,Estatística,0,24,A24
1,05/06/2018,Estatística,0,25,A25
1,11/06/2018,Estatística,18,26,A26
1,12/06/2018,Estatística,12,27,A27
1,18/06/2018,Estatística,17,28,A28
1,19/06/2018,Estatística,19,29,A29
1,25/06/2018,Estatística,0,30,A30
1,26/06/2018,Estatística,0,31,A31
1,02/07/2018,Estatística,0,32,A32
1,03/07/2018,Estatística,0,33,A33
1,09/07/2018,Estatística,0,34,A34
1,10/07/2018,Estatística,0,35,A35
112,11/03/2019,Estatística,11,1,A1
112,12/03/2019,Estatística,13,2,A2
112,18/03/2019,Estatística,11,3,A3
112,19/03/2019,Estatística,10,4,A4
112,25/03/2019,Estatística,9,5,A5
112,26/03/2019,Estatística,13,6,A6
112,01/04/2019,Estatística,5,7,A7
112,02/04/2019,Estatística,17,8,A8
112,08/04/2019,Estatística,12,9,A9
112,09/04/2019,Estatística,10,10,A10
112,15/04/2019,Estatística,13,11,A11
112,16/04/2019,Estatística,0,12,A12
112,22/04/2019,Estatística,13,13,A13
112,23/04/2019,Estatística,10,14,A14
112,29/04/2019,Estatística,16,15,A15
112,30/04/2019,Estatística,15,16,A16
112,06/05/2019,Estatística,13,17,A17
112,07/05/2019,Estatística,22,18,A18
112,13/05/2019,Estatística,12,19,A19
112,14/05/2019,Estatística,9,20,A20
112,20/05/2019,Estatística,0,21,A21
112,21/05/2019,Estatística,0,22,A22
112,27/05/2019,Estatística,28,23,A23
112,28/05/2019,Estatística,15,24,A24
112,03/06/2019,Estatística,0,25,A25
112,04/06/2019,Estatística,0,26,A26
112,10/06/2019,Estatística,0,27,A27
112,11/06/2019,Estatística,0,28,A28
112,17/06/2019,Estatística,0,29,A29
112,18/06/2019,Estatística,0,30,A30
112,24/06/2019,Estatística,0,31,A31
112,25/06/2019,Estatística,0,32,A32
112,01/07/2019,Estatística,0,33,A33
112,02/07/2019,Estatística,0,34,A34
112,08/07/2019,Estatística,0,35,A35
112,09/07/2019,Estatística,0,36,A36
239,03/04/2017,Estatística,0,1,A1
239,04/04/2017,Estatística,8,2,A2
239,10/04/2017,Estatística,8,3,A3
239,11/04/2017,Estatística,6,4,A4
239,17/04/2017,Estatística,6,5,A5
239,18/04/2017,Estatística,6,6,A6
239,24/04/2017,Estatística,17,7,A7
239,25/04/2017,Estatística,15,8,A8
239,01/05/2017,Estatística,0,9,A9
239,02/05/2017,Estatística,14,10,A10
239,08/05/2017,Estatística,0,11,A11
239,09/05/2017,Estatística,0,12,A12
239,15/05/2017,Estatística,0,13,A13
239,16/05/2017,Estatística,0,14,A14
239,22/05/2017,Estatística,13,15,A15
239,23/05/2017,Estatística,14,16,A16
239,29/05/2017,Estatística,0,17,A17
239,30/05/2017,Estatística,10,18,A18
239,05/06/2017,Estatística,0,19,A19
239,06/06/2017,Estatística,0,20,A20
239,12/06/2017,Estatística,13,21,A21
239,13/06/2017,Estatística,11,22,A22
239,19/06/2017,Estatística,14,23,A23
239,20/06/2017,Estatística,11,24,A24
239,26/06/2017,Estatística,13,25,A25
239,27/06/2017,Estatística,0,26,A26
239,03/07/2017,Estatística,0,27,A27
239,04/07/2017,Estatística,0,28,A28
239,10/07/2017,Estatística,0,29,A29
239,11/07/2017,Estatística,0,30,A30
239,17/07/2017,Estatística,0,31,A31
